               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.021541,            0.012149,             0.04699,             0.75411,             0.73146,             0.81226,             0.69047,           0.0093827,           0.0037554,             0.01557,           0.0057731,           0.0057731,           0.0057731
                  70,            0.021383,            0.012268,             0.04578,             0.75657,             0.73437,             0.81604,               0.694,           0.0093362,           0.0037493,            0.015323,           0.0056704,           0.0056704,           0.0056704
                  71,            0.020848,            0.012191,             0.04585,             0.76771,             0.73172,             0.81922,             0.69772,           0.0092856,           0.0037421,            0.015089,           0.0055674,           0.0055674,           0.0055674
                  72,            0.021206,            0.012067,            0.045244,             0.76998,             0.73588,             0.82278,             0.70122,           0.0092386,           0.0037363,            0.014861,           0.0054642,           0.0054642,           0.0054642
                  73,            0.020782,            0.012115,            0.044885,             0.76848,             0.74119,             0.82621,             0.70466,           0.0092136,           0.0037312,            0.014668,           0.0053608,           0.0053608,           0.0053608
                  74,            0.021548,             0.01211,             0.04458,              0.7727,             0.74616,             0.82973,             0.70828,           0.0091752,           0.0037239,            0.014477,           0.0052573,           0.0052573,           0.0052573
                  75,            0.020553,            0.011944,            0.044476,             0.77638,             0.74676,             0.83283,             0.71144,           0.0091546,           0.0037169,            0.014308,           0.0051537,           0.0051537,           0.0051537
                  76,            0.020672,            0.012077,            0.044526,             0.77847,             0.75234,             0.83594,             0.71433,           0.0091315,           0.0037096,            0.014126,             0.00505,             0.00505,             0.00505
                  77,            0.020833,             0.01204,            0.044344,             0.78228,             0.75485,             0.83877,             0.71753,           0.0090995,           0.0037019,            0.013956,           0.0049463,           0.0049463,           0.0049463
                  78,            0.020213,            0.012044,            0.043668,             0.78671,             0.75735,             0.84171,             0.72031,           0.0090671,           0.0036956,            0.013794,           0.0048427,           0.0048427,           0.0048427
