               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.019655,            0.014868,            0.047358,             0.58269,             0.62314,             0.64258,             0.47459,            0.010658,           0.0052763,            0.020334,            0.007875,            0.007875,            0.007875
                  48,            0.019573,             0.01468,            0.046156,             0.59578,             0.62219,             0.64984,             0.48182,             0.01063,           0.0052579,            0.020037,           0.0077893,           0.0077893,           0.0077893
                  49,             0.01934,            0.014577,             0.04634,             0.59915,             0.63294,             0.65662,             0.48722,            0.010623,           0.0052365,            0.019769,           0.0077023,           0.0077023,           0.0077023
                  50,            0.019636,            0.014603,            0.046276,             0.60472,             0.63422,             0.66197,             0.49385,            0.010567,           0.0052188,            0.019526,           0.0076142,           0.0076142,           0.0076142
                  51,            0.019658,            0.014503,            0.045769,             0.60844,             0.63723,             0.66688,             0.49684,            0.010542,           0.0051988,             0.01914,            0.007525,            0.007525,            0.007525
                  52,            0.019255,            0.014533,            0.045629,             0.61622,             0.64134,              0.6737,              0.5033,            0.010497,           0.0051771,            0.018831,           0.0074347,           0.0074347,           0.0074347
                  53,            0.019282,            0.014621,            0.044962,             0.62579,             0.64823,             0.68131,             0.50888,            0.010429,           0.0051704,            0.018439,           0.0073433,           0.0073433,           0.0073433
                  54,            0.019397,            0.014579,            0.044997,              0.6308,             0.65068,             0.68717,             0.51451,            0.010371,           0.0051465,            0.018235,           0.0072509,           0.0072509,           0.0072509
                  55,            0.019359,            0.014553,            0.044622,             0.63395,             0.65533,               0.692,             0.51865,            0.010374,           0.0051365,            0.017947,           0.0071576,           0.0071576,           0.0071576
                  56,            0.019217,            0.014477,            0.044523,             0.64288,             0.65432,             0.69829,             0.52507,            0.010303,           0.0051171,            0.017728,           0.0070633,           0.0070633,           0.0070633
                  57,            0.018967,             0.01453,            0.044942,             0.64192,             0.66059,             0.70279,             0.52942,            0.010243,           0.0051084,            0.017444,           0.0069682,           0.0069682,           0.0069682
                  58,            0.019229,            0.014501,             0.04459,             0.64602,             0.66771,             0.70752,             0.53308,            0.010209,           0.0051009,            0.017215,           0.0068722,           0.0068722,           0.0068722
                  59,            0.019168,            0.014515,            0.044397,             0.65099,             0.67028,             0.71202,             0.53638,             0.01019,           0.0050891,            0.016974,           0.0067754,           0.0067754,           0.0067754
                  60,            0.018964,             0.01442,            0.043718,             0.65868,             0.67178,             0.71888,             0.54285,            0.010168,           0.0050643,            0.016731,           0.0066779,           0.0066779,           0.0066779
                  61,            0.018932,            0.014421,            0.043763,             0.66231,             0.67698,             0.72396,             0.54772,            0.010125,           0.0050514,             0.01651,           0.0065796,           0.0065796,           0.0065796
                  62,              0.0191,            0.014412,            0.044041,              0.6661,             0.68516,             0.72928,             0.55253,            0.010077,           0.0050359,            0.016304,           0.0064807,           0.0064807,           0.0064807
                  63,            0.019058,            0.014443,            0.043381,             0.67062,              0.6882,             0.73451,              0.5572,             0.01005,           0.0050208,             0.01609,           0.0063812,           0.0063812,           0.0063812
                  64,            0.018947,            0.014267,            0.043592,             0.68156,             0.68661,             0.73867,              0.5613,            0.010024,           0.0050019,            0.015904,            0.006281,            0.006281,            0.006281
                  65,            0.018788,            0.014339,            0.042965,             0.68332,             0.69147,             0.74294,             0.56576,           0.0099904,           0.0049915,            0.015719,           0.0061803,           0.0061803,           0.0061803
                  66,            0.018908,            0.014279,             0.04243,             0.68437,             0.69532,             0.74711,             0.57023,           0.0099672,           0.0049791,            0.015514,           0.0060792,           0.0060792,           0.0060792
                  67,            0.018648,            0.014227,            0.042121,             0.68713,               0.701,             0.74983,             0.57304,            0.009932,           0.0049709,            0.015349,           0.0059775,           0.0059775,           0.0059775
                  68,            0.018506,            0.014204,            0.041999,             0.69156,             0.70229,             0.75384,             0.57669,           0.0099044,           0.0049625,            0.015175,           0.0058755,           0.0058755,           0.0058755
                  69,            0.018798,            0.014346,            0.042222,             0.69604,             0.70275,             0.75758,             0.57974,           0.0098798,           0.0049554,               0.015,           0.0057731,           0.0057731,           0.0057731
                  70,            0.018603,            0.014201,            0.041642,             0.70544,             0.70012,             0.76143,             0.58351,           0.0098559,           0.0049486,            0.014799,           0.0056704,           0.0056704,           0.0056704
                  71,            0.018366,            0.014143,            0.041381,             0.70972,             0.70171,             0.76466,             0.58641,            0.009831,           0.0049388,            0.014644,           0.0055674,           0.0055674,           0.0055674
                  72,            0.018418,            0.014091,            0.041063,             0.71186,              0.7046,             0.76803,             0.58876,           0.0098053,           0.0049314,            0.014484,           0.0054642,           0.0054642,           0.0054642
                  73,            0.018458,            0.014059,            0.041703,             0.71434,             0.70818,             0.77104,             0.59148,           0.0097747,           0.0049226,            0.014345,           0.0053608,           0.0053608,           0.0053608
                  74,            0.018441,            0.014279,            0.041049,             0.72114,             0.70944,             0.77386,             0.59386,           0.0097408,           0.0049142,            0.014195,           0.0052573,           0.0052573,           0.0052573
